setting,shots_per_class,seed,steps,support_images,trainable_parameters,mIoU,background,building,road,water,barren,forest,agriculture
adapter_200,1,3407,200,7,893721,0.5146719998976439,0.523572837852729,0.6404762577968391,0.5439699292512686,0.7050528714917138,0.3285308239070334,0.34943993578372556,0.5116613432001978
adapter_200,2,3407,200,14,893721,0.5128716547363855,0.5014304497317588,0.563403398787839,0.5246681713023582,0.705655013145162,0.3269147499097643,0.3900523311296849,0.5779774691481312
semantic_head_2000,1,3407,2000,7,520,0.5253716084602446,0.500805257112649,0.6162175968874456,0.5431049867677855,0.7006612060786443,0.3233473463402421,0.3957369864603167,0.5977278795746289
semantic_head_2000,2,3407,2000,14,520,0.5137718724612762,0.4714512227226716,0.5491830600019415,0.541987840134369,0.7032671741567762,0.3243816394223784,0.403387932222964,0.6027442385678331
semantic_head_200,1,3407,200,7,520,0.5358771988342518,0.5433753968438699,0.6464544003555227,0.5681665488893974,0.7055460237435217,0.2950820549405795,0.3913739098231328,0.6011420572437389
semantic_head_200,2,3407,200,14,520,0.5352712990624452,0.5421351236231869,0.6447951966787915,0.5683943990339511,0.7055906961029377,0.29521218818608924,0.38935562173848653,0.6014158680736738
