mode,shots_per_class,seed,support_images,mIoU,background,building,road,water,barren,forest,agriculture
semantic-head,1,3407,7,0.5358771988342518,0.5433753968438699,0.6464544003555227,0.5681665488893974,0.7055460237435217,0.2950820549405795,0.3913739098231328,0.6011420572437389
semantic-head,2,3407,14,0.5352712990624452,0.5421351236231869,0.6447951966787915,0.5683943990339511,0.7055906961029377,0.29521218818608924,0.38935562173848653,0.6014158680736738
