mode,shots_per_class,seed,support_images,mIoU,background,building,road,water,barren,forest,agriculture
adapter,1,3407,7,0.5146719998976439,0.523572837852729,0.6404762577968391,0.5439699292512686,0.7050528714917138,0.3285308239070334,0.34943993578372556,0.5116613432001978
adapter,2,3407,14,0.5128716547363855,0.5014304497317588,0.563403398787839,0.5246681713023582,0.705655013145162,0.3269147499097643,0.3900523311296849,0.5779774691481312
