iter 1850/160000: loss=0.31041 grad_norm=5.0557 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1900/160000: loss=0.50143 grad_norm=2.1134 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1950/160000: loss=0.25822 grad_norm=2.8850 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2000/160000: loss=0.66682 grad_norm=3.6224 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2050/160000: loss=0.32914 grad_norm=4.0912 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2100/160000: loss=0.43350 grad_norm=1.3746 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2150/160000: loss=0.46491 grad_norm=6.0825 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2200/160000: loss=0.25441 grad_norm=4.0443 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2250/160000: loss=0.24320 grad_norm=13.4830 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2300/160000: loss=0.28291 grad_norm=5.5445 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2350/160000: loss=0.30906 grad_norm=4.2907 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2400/160000: loss=0.45986 grad_norm=9.1660 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2450/160000: loss=0.32039 grad_norm=3.4209 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2500/160000: loss=0.24018 grad_norm=1.0831 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2550/160000: loss=0.30858 grad_norm=16.5273 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2600/160000: loss=0.70438 grad_norm=5.3810 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2650/160000: loss=0.53072 grad_norm=3.8442 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2700/160000: loss=0.15774 grad_norm=2.0449 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2750/160000: loss=0.32939 grad_norm=7.2447 seconds_per_update=0.205 peak_gpu_gb=4.01
iter 2800/160000: loss=0.24537 grad_norm=6.7259 seconds_per_update=0.205 peak_gpu_gb=4.01
